id	data_type	total_bytes	total_duration	total_participants
ds000212	task-mri	59971293963	130522.0	273
ds000213	task-mri	10499078730	105560.0	182
ds000214	task-mri	12473361789	128492.777	252
ds000217	task-mri	980504010009	205267.5	369
ds000218	task-mri	82927882996	109656.834	133
ds000219	task-mri	111349266819	120315.762	147
ds000223	task-mri	35674519615	57928.668	133
ds000224	task-mri	172914980999	859157.2	70
ds000229	task-mri	25201161720	81033.603	105
ds000231	task-mri	51977589034	46333.7	63
ds000232	task-mri	261107739333	478658.79000000004	90
ds000233	task-mri	28885165694	61488.0	84
ds000237	task-mri	67558208270	41352.129	91
ds000238	task-mri	409640700609	331142.0	245
ds000241	task-mri	38746115505	30618.0	108
ds000244	task-mri	2183040582408	1241871.2179999999	84
ds000249	task-mri	30928390974	96576.867	234
ds000253	task-mri	76762109697	474880.0	140
ds000254	task-mri	11457342645	25480.0	91
ds000255	task-mri	12986828442	20376.0	18
ds000256	task-mri	30681453618	0.0	216
ds000258	task-mri	82541751280	385860.0	654
ds001021	task-mri	9730744400	5320.0	10
ds001105	task-mri	440078688540	188938.70945686	280
ds001110	task-mri	85476704870	932060.0	370
ds001131	task-mri	28864283700	290880.0	540
ds001132	task-mri	63994694510	665965.0	160
ds001145	task-mri	81940605900	362160.0	240
ds001178	task-mri	1727494650	1961.7600000000002	10
ds001218	task-mri	762279703760	100225.00775813611	300
ds001228	task-mri	100171411110	98712.7304	240
ds001229	task-mri	86034790720	314300.0	270
ds001232	task-mri	73505093250	152880.0	210
ds001233	task-mri	404025054330	167020.0	180
ds001235	task-mri	46799551910	15965.199999999999	120
ds001241	task-mri	59299745830	66497.0	240
ds001242	task-mri	139253964420	570413.4	520
ds001246	task-mri	174523020876	290007.0	45
ds001247	task-mri	61822533816	373857.8328	387
ds001293	task-mri	494771384583	59203.4166	63
ds001297	task-mri	92192897889	84199.5	297
ds001299	task-mri	546019369983	99793.680302223	171
ds001302	task-mri	50070381327	191990.45045447262	207
ds001306	task-mri	22677939972	5054.3235609535	17
ds001338	task-mri	174326024810	200508.0	154
ds001339	task-mri	18718083538	23452.541	98
ds001344	task-mri	10996917414	126000.0	105
ds001345	task-mri	15492242668	44730.0	84
ds001353	task-mri	28806301440	372.4	196
ds001357	task-mri	25241140750	81255.048021	126
ds001371	task-mri	453514223602	623.1999999999999	328
ds001399	task-mri	78618730519	151044.978	42
ds001415	task-mri	5024423348	75260.2655	147
ds001417	task-mri	658032623017	327068.53424	252
ds001419	task-mri	935754526	420.0	7
ds001430	task-mri	65164046360	321268.5	217
ds001439	task-mri	57186421698	77525.0	126
ds001454	task-mri	108057340167	120722.0	168
ds001486	task-mri	472388679700	1002652.37	660
ds001491	task-mri	86871011135	297387.24	100
ds001497	task-mri	11831551270	18700.0	50
ds001499	task-mri	326885886296	109646.21280000001	16
ds001506	task-mri	521696204860	169940.0	15
ds001510	task-mri	359638830295	306033.3	155
ds001511	task-mri	105127836825	90424.55	65
ds001517	task-mri	844206510820	157304.79	120
ds001521	task-mri	67639063925	211970.0	205
ds001525	task-mri	157136780655	47880.0	85
ds001534	task-mri	30120493585	141750.0	210
ds001541	task-mri	12562848895	16000.0	20
ds001545	task-mri	121317947800	43875.0	150
ds001547	task-mri	61611292400	2700.0	25
ds001551	task-mri	41922230152	75379.168	136
ds001553	task-mri	35815679996	31200.0	12
ds001554	task-mri	17040323908	141174.0	92
ds001555	task-mri	135063909572	32240.0	12
ds001576	task-mri	118826769332	147215.218792328	144
ds001590	task-mri	1250908712232	144874.270932	128
ds001597	task-mri	236953734752	70720.0	80
ds001607	task-mri	42941221520	438946.46520002745	128
ds001608	task-mri	32196102928	124304.0	84
ds001618	task-mri	25325349660	288000.0	144
ds001621	task-mri	17877914360	48306.9708	80
ds001634	task-mri	24805633560	52232.988	76
ds001635	task-mri	19368962784	40607.392	64
ds001652	task-mri	3970085724	19914.955616	32
ds001715	task-mri	63454617704	49640.766183072	136
ds001722	task-mri	8650126832	9892.0	76
ds001734	task-mri	1169610544940	190503.436	432
ds001740	task-mri	94403488504	45821.028	100
ds001745	task-mri	29420435920	95730.51855032	96
ds001748	task-mri	37109664652	304350.02	248
ds001751	task-mri	13358325384	99117.316	80
ds001761	task-mri	85673311128	56950.573099999994	16
